sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
317,0.24,0.11,0.18,0.16,0.02,0.16
318,0.24,0.12,0.17,0.15,0.03,0.16
319,0.24,0.12,0.17,0.15,0.02,0.16
320,0.24,0.12,0.17,0.15,0.02,0.16
321,0.24,0.12,0.17,0.14,0.02,0.16
322,0.24,0.12,0.17,0.16,0.03,0.15
323,0.24,0.12,0.18,0.15,0.02,0.16
324,0.25,0.12,0.17,0.15,0.03,0.16
325,0.25,0.12,0.18,0.15,0.02,0.16
326,0.24,0.12,0.17,0.15,0.03,0.16
327,0.24,0.12,0.17,0.15,0.02,0.16
328,0.24,0.12,0.18,0.15,0.02,0.16
329,0.24,0.11,0.17,0.15,0.02,0.16
330,0.24,0.12,0.17,0.15,0.02,0.16
331,0.24,0.12,0.18,0.16,0.01,0.16
332,0.24,0.12,0.17,0.15,0.02,0.17
333,0.24,0.12,0.18,0.15,0.02,0.16
334,0.24,0.12,0.17,0.15,0.03,0.16
335,0.24,0.10,0.17,0.14,0.03,0.17
336,0.25,0.11,0.18,0.16,0.02,0.16
337,0.24,0.11,0.18,0.15,0.02,0.16
338,0.24,0.11,0.17,0.15,0.03,0.16
339,0.24,0.11,0.18,0.15,0.02,0.17
340,0.24,0.12,0.17,0.15,0.03,0.15
341,0.24,0.11,0.18,0.15,0.03,0.16
342,0.24,0.11,0.17,0.15,0.02,0.16
343,0.23,0.12,0.17,0.16,0.02,0.15
344,0.24,0.12,0.18,0.15,0.02,0.15
345,0.24,0.11,0.17,0.15,0.02,0.16
346,0.24,0.12,0.17,0.15,0.03,0.15
347,0.25,0.11,0.16,0.16,0.02,0.16
348,0.25,0.11,0.17,0.15,0.02,0.16
349,0.24,0.11,0.17,0.15,0.01,0.17
350,0.24,0.12,0.17,0.15,0.02,0.17
351,0.24,0.12,0.17,0.15,0.02,0.15
352,0.24,0.11,0.17,0.15,0.02,0.16
353,0.24,0.12,0.17,0.15,0.03,0.16
354,0.24,0.12,0.18,0.16,0.02,0.15
355,0.24,0.12,0.17,0.15,0.03,0.16
356,0.24,0.12,0.18,0.15,0.03,0.16
357,0.24,0.12,0.17,0.15,0.02,0.16
358,0.24,0.11,0.17,0.15,0.02,0.16
359,0.25,0.12,0.17,0.15,0.03,0.16
360,0.24,0.11,0.17,0.15,0.03,0.16
361,0.24,0.12,0.17,0.15,0.02,0.16
362,0.23,0.12,0.17,0.14,0.03,0.17
363,0.24,0.12,0.18,0.15,0.02,0.17
364,0.24,0.12,0.17,0.15,0.02,0.15
365,0.24,0.11,0.17,0.15,0.02,0.16
366,0.25,0.12,0.18,0.15,0.02,0.16
