,volt,h2,lpg,ch4,co,alcohol,smoke,propane
309,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
310,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
313,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
314,0.03,58.979,32.701,114.228,615.513,99.89,162.423,39.866
315,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
316,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
317,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
318,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
319,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
320,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
321,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
322,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
323,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
324,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
325,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
326,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
327,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
328,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
329,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
330,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
331,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
332,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
333,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
334,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
335,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
336,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
337,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
338,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
339,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
340,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
341,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
342,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
343,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
344,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
345,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
346,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
347,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
350,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
351,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
352,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
353,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
354,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
355,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
356,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
357,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
358,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
359,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
360,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
361,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
362,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
363,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
364,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
365,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
